date_sold,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_above,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,basement,renovated,condition,grade,city,location
735451,430000.0,2,3,2420,60984,2,0,2420,2007,98027,47.5262,-121.943,1940,193842,0,0,2,4,Issaquah,NE
735536,258000.0,5,2,2260,12500,1,0,1130,1960,98032,47.3887,-122.286,1360,18000,1,0,3,5,Kent,SW
735541,511000.0,3,1,1430,3455,1,0,980,1947,98103,47.6873,-122.336,1450,4599,1,0,2,4,Seattle,NW
735465,532170.0,3,2,1360,3090,2,0,1360,1990,98103,47.6838,-122.353,1500,3090,0,0,2,5,Seattle,NW
735697,560000.0,3,1,1110,5000,1,0,1110,1947,98107,47.655,-122.359,1420,5000,0,0,2,4,Seattle,NW
735688,282950.0,3,1,1250,8200,1,0,1250,1954,98003,47.3255,-122.304,1680,8633,0,0,3,4,Federal Way,SW
735689,2250000.0,4,3,5180,19850,2,0,3540,2006,98006,47.562,-122.162,3160,9750,1,0,2,9,Bellevue,NE
735369,350000.0,1,1,700,5100,1,0,700,1942,98115,47.678999999999995,-122.3,1010,5100,0,0,2,4,Seattle,NW
735442,215000.0,3,1,1180,7669,1,0,1180,1967,98058,47.4479,-122.176,1190,7669,0,0,3,4,Renton,SW
735557,650000.0,5,4,3960,25245,2,0,2500,1996,98056,47.525,-122.17200000000001,2640,13675,1,0,2,6,Renton,NE
735452,320000.0,4,3,2640,7500,1,0,1620,1967,98023,47.3135,-122.369,1980,7875,1,0,2,5,Federal Way,SW
735550,247000.0,3,2,1270,7198,1,0,1270,1916,98022,47.2086,-121.99600000000001,1160,7198,0,1,2,4,Enumclaw,SE
735509,320000.0,4,2,1760,11180,1,0,1760,1968,98059,47.4715,-122.118,1730,11180,0,0,3,5,Renton,SW
735360,255000.0,5,2,2060,8632,1,0,1030,1962,98146,47.4877,-122.335,1010,11680,1,0,2,4,Seattle,SW
735666,438000.0,3,2,1780,9660,1,0,1780,1962,98034,47.7171,-122.193,1200,9660,0,0,2,4,Kirkland,NE
735661,900000.0,3,3,3400,16603,2,0,3400,2000,98075,47.6012,-122.023,3400,12601,0,0,2,7,Sammamish,NE
735404,441000.0,3,3,1910,7280,1,0,1160,1979,98034,47.7319,-122.22399999999999,1710,8152,1,0,2,4,Kirkland,NE
735457,420000.0,3,2,2020,38332,1,0,1010,1975,98027,47.4582,-122.023,2110,36590,1,0,3,4,Issaquah,SE
735575,370000.0,3,2,1580,7000,1,0,1180,1976,98034,47.7209,-122.16799999999999,1640,7500,1,0,2,4,Kirkland,NE
735648,269950.0,2,2,1340,7250,1,0,700,1949,98198,47.408,-122.32700000000001,1830,9750,1,0,4,2,Seattle,SW
735681,807100.0,4,3,2680,4499,2,0,2680,1999,98006,47.565,-122.125,2920,4500,0,0,2,6,Bellevue,NE
735389,653000.0,3,3,2680,9750,1,0,1610,1979,98034,47.7028,-122.23100000000001,2480,8750,1,0,3,5,Kirkland,NE
735395,371500.0,3,2,1370,8336,1,0,1370,1964,98133,47.7458,-122.331,1770,7288,0,0,4,4,Seattle,NW
735673,284000.0,3,2,1560,21000,1,0,1560,1954,98166,47.4776,-122.337,1070,7920,0,0,2,4,Seattle,SW
735600,272000.0,3,2,2160,7140,1,0,1670,1978,98023,47.3026,-122.374,1930,7350,1,0,3,4,Federal Way,SW
735355,313000.0,3,2,1340,7912,1,0,1340,1955,98133,47.7658,-122.339,1480,7940,0,0,2,4,Seattle,NW
735614,917500.0,4,3,3880,35003,2,0,2570,1984,98033,47.6477,-122.182,3740,35230,1,0,2,7,Kirkland,NE
735505,673000.0,4,2,2590,8190,2,0,2590,1980,98006,47.5619,-122.125,2260,8335,0,0,3,5,Bellevue,NE
735639,425000.0,3,3,1120,1100,2,0,820,2008,98122,47.6106,-122.31,1590,1795,1,0,2,5,Seattle,NW
735423,399950.0,5,3,1970,5400,1,0,1320,1986,98144,47.5868,-122.30799999999999,1280,2150,1,0,2,4,Seattle,NW
735383,385000.0,3,1,1220,4800,1,0,1220,1901,98122,47.6101,-122.307,1200,4800,0,0,2,3,Seattle,NW
735554,269950.0,3,2,1950,7560,1,0,1320,1975,98022,47.1976,-121.999,1950,8941,1,0,3,4,Enumclaw,SE
735605,330000.0,2,1,1350,8220,1,0,1060,1949,98177,47.7224,-122.35799999999999,1540,8280,1,0,2,4,Seattle,NW
735439,260000.0,3,3,1670,5797,2,0,1670,1988,98030,47.3505,-122.179,1670,6183,0,0,2,4,Kent,SW
735702,470000.0,4,3,2380,5125,1,0,1680,1925,98126,47.5384,-122.376,1410,5375,1,0,3,4,Seattle,NW
735397,589000.0,4,3,2440,9600,2,0,2440,1961,98034,47.7044,-122.2,2290,9600,0,0,4,4,Kirkland,NE
735437,163500.0,2,2,1050,3419,2,0,1050,1996,98038,47.3848,-122.039,1050,3417,0,0,2,4,Maple Valley,SE
735481,835000.0,4,3,3130,13412,2,0,2140,1993,98052,47.6993,-122.102,2260,9984,1,0,2,6,Redmond,NE
735558,1100000.0,5,3,4090,12850,1,0,2090,1986,98033,47.6627,-122.18799999999999,2540,10270,1,0,3,7,Kirkland,NE
735703,269000.0,4,2,1490,10000,1,0,1100,1969,98023,47.3099,-122.37899999999999,2190,8910,1,0,3,5,Federal Way,SW
735358,560000.0,3,3,1900,8744,2,0,1900,1987,98074,47.62,-122.04299999999999,2030,8744,0,0,2,5,Sammamish,NE
735706,615000.0,4,1,1330,2400,1,0,1330,1901,98103,47.65,-122.34,1330,4400,0,0,3,3,Seattle,NW
735572,585188.0,3,2,2230,10026,1,0,1430,1975,98052,47.6647,-122.15299999999999,2230,9340,1,0,2,5,Redmond,NE
735463,305000.0,3,2,1650,9480,1,0,1220,1977,98034,47.726000000000006,-122.191,1540,8400,1,0,2,4,Kirkland,NE
735542,166950.0,3,1,1190,8820,1,0,1190,1959,98058,47.4616,-122.184,1230,7980,0,0,2,3,Renton,SW
735488,799000.0,3,3,2140,9897,1,0,2140,1959,98040,47.5505,-122.219,2680,10083,0,0,3,5,Mercer Island,NE
735409,400000.0,3,3,2180,7508,1,0,1420,1962,98133,47.7606,-122.336,1900,7818,1,0,3,4,Seattle,NW
735568,230000.0,3,1,1060,10228,1,0,1060,1948,98155,47.7481,-122.3,1570,10228,0,0,2,4,Seattle,NW
735368,256883.0,3,3,1690,5025,2,0,1690,2003,98023,47.2779,-122.34700000000001,2550,5001,0,0,2,5,Federal Way,SW
735548,423000.0,4,2,1970,6480,1,0,1130,1920,98108,47.5511,-122.31200000000001,1500,6480,1,0,4,4,Seattle,NW
735437,465000.0,3,3,2150,4084,2,0,2150,2007,98126,47.5488,-122.37200000000001,1750,2385,0,0,2,5,Seattle,NW
735611,440000.0,3,3,1910,66211,2,0,1910,1997,98024,47.5385,-121.911,2330,67268,0,0,2,4,Fall City,NE
735520,385000.0,3,2,1350,155073,1,0,1350,1969,98038,47.4058,-121.994,1560,50965,0,0,3,4,Maple Valley,SE
735668,210000.0,3,1,860,11725,1,0,860,1943,98056,47.5093,-122.184,1300,9514,0,0,3,3,Renton,SW
735549,297000.0,3,3,1940,14952,2,0,1940,1994,98042,47.3777,-122.165,2030,10450,0,0,2,5,Kent,SW
735430,470000.0,3,1,1010,5000,1,0,1010,1952,98107,47.675,-122.39399999999999,1680,5000,0,0,2,4,Seattle,NW
735449,226500.0,3,2,1300,7370,1,0,900,1976,98023,47.3025,-122.37,1430,7500,1,0,3,4,Federal Way,SW
735660,274250.0,3,1,910,8450,1,0,910,1962,98059,47.4787,-122.15799999999999,1400,8040,0,0,3,3,Renton,SW
735449,840000.0,4,2,2480,11010,1,0,1630,1966,98040,47.5378,-122.219,2770,10744,1,0,3,6,Mercer Island,NE
735495,677900.0,3,3,2440,4587,2,0,2440,2010,98052,47.7073,-122.11399999999999,2750,4587,0,0,2,5,Redmond,NE
735634,425000.0,3,1,1010,5864,1,0,1010,1915,98116,47.5733,-122.381,1290,5000,0,0,2,4,Seattle,NW
735560,180250.0,2,1,900,9600,1,0,900,1941,98166,47.4604,-122.339,1250,14280,0,0,2,3,Seattle,SW
735431,464000.0,6,3,2300,3404,2,0,1600,1920,98133,47.7067,-122.34299999999999,1560,1312,1,1,2,4,Seattle,NW
735710,320000.0,4,2,1550,7579,2,0,1550,1993,98038,47.354,-122.04700000000001,1630,6397,0,0,2,5,Maple Valley,SE
735431,625504.0,3,2,1270,1566,2,0,1060,2014,98105,47.6647,-122.28399999999999,1160,1327,1,0,2,5,Seattle,NE
735368,592500.0,4,3,2240,12032,1,0,2240,1983,98074,47.6143,-122.01700000000001,2520,12368,0,0,2,6,Sammamish,NE
735612,465000.0,3,3,2714,17936,2,0,2714,2005,98001,47.3185,-122.275,2590,18386,0,0,2,6,Auburn,SW
